id,win,kills,deaths,assists,largestkillingspree,largestmultikill,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgtoturrets,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,wardsplaced,wardskilled,firstblood
0,0,1,5,2,0,1,569,0,0,0,0,26597,759,25837,0,0,3611,270,3341,0,849,2,0,0,7819,2178,5239,401,4,1,0
1,0,5,8,7,3,1,880,0,0,0,0,26808,12903,7017,6887,0,11039,7781,2690,568,642,4,303,0,24637,5607,17635,1394,10,0,0
2,1,1,6,16,0,1,593,0,0,0,0,40271,13889,16617,9764,0,12810,6567,6242,0,2326,3,329,0,18749,3651,14834,263,7,1,0
3,0,1,2,0,0,1,381,0,0,0,0,34619,6553,28065,0,0,7180,2568,4611,0,1555,1,0,0,12134,1739,10318,76,8,1,0
4,0,4,11,25,0,1,455,0,0,0,0,19926,10612,4416,4896,0,7544,3501,1146,2896,6630,8,0,0,27891,14068,12749,1073,34,2,0
5,0,8,6,10,3,2,667,2,0,0,0,159289,91570,25531,42186,0,23192,15423,3120,4648,6825,1,1537,0,24532,11443,12433,655,13,2,0
6,0,4,12,9,0,1,281,0,0,0,0,20250,13388,4324,2538,0,6300,4642,1119,538,3169,5,117,0,25085,7166,16487,1431,12,1,0
7,0,4,7,8,3,2,641,1,0,0,0,84165,1730,81352,1082,0,18339,819,16864,654,4267,4,0,0,21082,5351,15671,60,7,2,0
8,1,3,6,11,2,1,584,0,0,0,0,67654,61059,6056,538,0,13511,12357,749,404,400,1,2621,0,11488,5839,5534,114,11,2,0
9,1,11,1,5,9,3,955,1,1,0,0,287813,20992,259686,7133,1194,24378,7468,14577,2333,7809,1,8149,0,19488,9726,9465,295,7,2,0
10,0,11,6,12,3,2,793,2,0,0,0,180910,2216,177719,973,1897,31206,1877,28963,365,6006,1,0,0,23612,5995,16687,930,10,0,0
11,1,4,5,6,2,1,671,0,0,0,0,140466,1674,137021,1770,1463,16377,764,15340,273,2335,2,8159,0,14035,5167,8441,426,7,0,0
12,0,8,6,11,3,1,1027,0,0,0,0,177009,161162,14438,1408,0,25811,24998,513,300,3100,1,894,0,27500,8197,17731,1571,15,1,1
13,0,5,7,3,2,1,1057,0,0,0,0,199529,8332,190332,864,627,30418,3897,26072,448,2888,4,0,0,24693,6406,17182,1104,15,2,0
14,0,4,20,21,0,1,422,0,0,0,0,199641,168099,21391,10150,0,42266,37356,2119,2790,5390,1,1933,0,52582,6992,40271,5318,13,5,0
15,1,7,3,6,7,1,819,0,0,0,0,83745,15526,57897,10320,0,9634,1520,7956,158,3912,1,4190,0,16818,3947,12584,286,10,0,1
16,0,0,7,2,0,0,312,0,0,0,0,8050,6418,1631,0,0,4585,3619,965,0,48,1,0,0,9623,4005,4346,1270,15,2,0
17,0,10,10,12,3,2,685,1,0,0,0,213440,90,211757,1593,665,46984,90,45740,1153,4088,4,1501,0,33342,7940,21970,3431,7,0,0
18,0,2,6,18,0,1,642,0,0,0,0,142783,103808,24133,14841,578,11864,9613,1482,769,14678,1,1051,0,37217,12564,21320,3332,10,5,0
19,0,0,6,7,0,0,536,0,0,0,0,35710,23968,6105,5636,0,6660,5147,1513,0,5329,5,44,0,21919,8458,11054,2406,22,0,0
20,0,3,8,6,3,1,860,0,0,0,0,114258,969,113149,140,1259,13826,413,13273,140,1883,2,1562,0,22816,9818,12342,656,9,2,0
21,1,7,3,5,4,1,903,0,0,0,0,131380,87806,43573,0,388,17327,12249,5078,0,2854,4,0,0,14849,3753,10115,980,13,5,0
22,1,4,2,7,4,3,823,1,1,0,0,114193,22104,92088,0,0,7000,3506,3493,0,5059,1,0,0,16787,8482,8046,258,12,2,0
23,1,12,3,7,11,2,507,1,0,0,0,162572,130535,15458,16578,438,23587,21916,1571,100,3136,3,0,0,14564,6923,6989,652,8,0,0
24,0,0,6,11,0,0,657,0,0,0,0,36540,29332,5958,1250,0,10232,9002,1230,0,17830,5,0,0,20388,6037,13178,1172,18,3,0
25,1,6,3,4,4,1,934,0,0,0,0,184865,36925,147256,684,877,20320,2005,18279,36,7812,1,9321,0,32177,7105,23302,1769,13,5,0
26,0,4,11,5,2,1,404,0,0,0,0,211751,2052,206647,3051,639,20493,561,19286,646,4198,3,1941,0,27329,11134,15651,543,16,3,0
27,0,5,8,3,4,1,448,0,0,0,0,82188,61921,20267,0,343,12357,9633,2723,0,288,1,1185,0,22224,8798,12922,503,12,1,0
28,0,12,9,8,4,2,890,1,0,0,0,214677,99913,103457,11306,0,32520,15233,14724,2562,14308,1,250,0,56155,18118,34578,3459,5,1,0
29,0,1,5,2,0,1,383,0,0,0,0,77279,70117,7161,0,0,7425,6997,428,0,11,1,0,0,16676,7076,9118,481,2,1,0
30,1,1,3,4,0,1,538,0,0,0,0,73761,62873,10198,690,0,7318,5338,1290,690,2643,1,0,0,13674,5288,7970,416,8,1,0
31,0,6,7,2,2,1,330,0,0,0,0,116613,100704,15436,472,0,14388,11274,2641,472,358,1,0,0,22782,11236,11047,498,3,0,0
32,0,3,4,3,2,2,1033,1,0,0,0,55597,45465,10132,0,0,6808,6175,632,0,892,2,0,0,9144,5919,2974,250,3,0,0
33,1,0,3,13,0,0,910,0,0,0,0,21863,15294,5665,903,0,6796,4798,1460,537,11999,9,148,0,18306,6995,11135,176,14,5,0
34,1,12,4,10,7,2,499,4,0,0,0,153452,114263,30068,9120,0,30213,27876,1910,426,9761,1,3036,0,26210,6266,18580,1364,12,7,0
35,1,10,7,8,5,1,470,0,0,0,0,110679,48066,59975,2638,355,22159,10910,10919,330,3120,1,1844,0,30725,12835,16317,1572,14,0,0
36,1,0,4,8,0,0,809,0,0,0,0,10627,6158,4468,0,0,3631,2398,1233,0,101,1,778,0,11142,4747,6224,170,17,5,0
37,0,0,3,3,0,0,773,0,0,0,0,53581,8,47340,6232,0,5790,8,4122,1660,1328,2,0,0,9512,1583,7598,330,6,0,0
38,1,13,9,10,4,1,538,0,0,0,0,252622,50465,181339,20817,0,36629,9917,24287,2424,18017,1,4026,0,43774,6637,36577,559,16,2,0
39,0,4,8,2,2,1,598,0,0,0,0,141797,1696,132861,7238,572,23042,979,14824,7238,8544,3,8940,0,35248,13338,20309,1600,11,3,1
40,1,10,2,8,9,2,1078,1,0,0,0,128378,0,127089,1288,0,19699,0,19699,0,5433,1,4902,0,20033,7988,9012,3032,10,1,1
41,0,5,14,22,0,1,622,0,0,0,0,134606,118024,14602,1979,0,39822,36126,1716,1979,2207,1,513,0,31623,4014,24593,3015,13,2,0
